"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","PerfectDraft Website Core Functionality","1","0","Select country from homepage","0"
"0","","0","Select country from homepage","1","0","Select country from homepage","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","View PerfectDraft machine options","0"
"0","","0","View PerfectDraft machine options","1","0","View PerfectDraft machine options","0"
"1","","0","PerfectDraft Website Core Functionality","0","0","Add products to shopping cart","0"
"1","","0","Add products to shopping cart","0","0","Add products to shopping cart","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Main website navigation","0"
"0","","0","Main website navigation","1","0","Main website navigation","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Browse beer kegs catalog","0"
"0","","0","Browse beer kegs catalog","1","0","Browse beer kegs catalog","0"
"1","","0","PerfectDraft Website Core Functionality","0","0","Add new BrewDog keg to shopping cart","0"
"1","","0","Add new BrewDog keg to shopping cart","0","0","Add new BrewDog keg to shopping cart","0"
