"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16599","Find Community Store locations","","Fri Aug 08 15:34:39 GMT 2025","passed","Fri Aug 08 15:34:55 GMT 2025","","","",""
"","3919","Navigate to different country websites","","Fri Aug 08 15:34:02 GMT 2025","passed","Fri Aug 08 15:34:06 GMT 2025","","","",""
"","4768","Select country from homepage","","Fri Aug 08 15:33:52 GMT 2025","passed","Fri Aug 08 15:33:57 GMT 2025","","","",""
"","5809","View promotional keg packs","","Fri Aug 08 15:35:20 GMT 2025","passed","Fri Aug 08 15:35:26 GMT 2025","","","",""
"","6301","View PerfectDraft machine options","","Fri Aug 08 15:34:11 GMT 2025","passed","Fri Aug 08 15:34:17 GMT 2025","","","",""
"","82299","Complete checkout process as guest user","","Fri Aug 08 15:32:04 GMT 2025","passed","Fri Aug 08 15:33:26 GMT 2025","","","",""
"","10972","View detailed product information","","Fri Aug 08 15:34:21 GMT 2025","passed","Fri Aug 08 15:34:32 GMT 2025","","","",""
"","16520","Add products to shopping cart","","Fri Aug 08 15:35:26 GMT 2025","passed","Fri Aug 08 15:35:43 GMT 2025","","","",""
"","19373","Add new Camden Hells keg to shopping cart","","Fri Aug 08 15:33:27 GMT 2025","passed","Fri Aug 08 15:33:46 GMT 2025","","","",""
"","23755","Modify cart contents","","Fri Aug 08 15:34:56 GMT 2025","passed","Fri Aug 08 15:35:19 GMT 2025","","","",""
"","5198","Browse beer kegs catalog","","Fri Aug 08 15:33:47 GMT 2025","passed","Fri Aug 08 15:33:52 GMT 2025","","","",""
"","6242","Search for specific products","","Fri Aug 08 15:34:32 GMT 2025","passed","Fri Aug 08 15:34:38 GMT 2025","","","",""
"","4042","Navigate to different country websites","","Fri Aug 08 15:33:57 GMT 2025","passed","Fri Aug 08 15:34:01 GMT 2025","","","",""
"","4116","Navigate to different country websites","","Fri Aug 08 15:34:06 GMT 2025","passed","Fri Aug 08 15:34:10 GMT 2025","","","",""
"","2894","Main website navigation","","Fri Aug 08 15:34:17 GMT 2025","passed","Fri Aug 08 15:34:20 GMT 2025","","","",""
