"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","PerfectDraft Website Core Functionality","Find Community Store locations","0","0","1","0","0"
"","Find Community Store locations","Find Community Store locations","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","Search for specific products","0","0","1","0","0"
"","Search for specific products","Search for specific products","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","Modify cart contents","1","0","0","0","0"
"","Modify cart contents","Modify cart contents","1","0","0","0","0"
"","PerfectDraft Website Core Functionality","Navigate to different country websites","0","0","3","0","0"
"","Navigate to different country websites","Navigate to different country websites","0","0","3","0","0"
"","PerfectDraft Website Core Functionality","View PerfectDraft machine options","0","0","1","0","0"
"","View PerfectDraft machine options","View PerfectDraft machine options","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","Complete checkout process as guest user","0","0","1","0","0"
"","Complete checkout process as guest user","Complete checkout process as guest user","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","Main website navigation","0","0","1","0","0"
"","Main website navigation","Main website navigation","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","Add new Camden Hells keg to shopping cart","0","0","1","0","0"
"","Add new Camden Hells keg to shopping cart","Add new Camden Hells keg to shopping cart","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","View detailed product information","0","0","1","0","0"
"","View detailed product information","View detailed product information","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","Browse beer kegs catalog","0","0","1","0","0"
"","Browse beer kegs catalog","Browse beer kegs catalog","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","View promotional keg packs","1","0","0","0","0"
"","View promotional keg packs","View promotional keg packs","1","0","0","0","0"
"","PerfectDraft Website Core Functionality","Select country from homepage","0","0","1","0","0"
"","Select country from homepage","Select country from homepage","0","0","1","0","0"
"","PerfectDraft Website Core Functionality","Add products to shopping cart","0","0","1","0","0"
"","Add products to shopping cart","Add products to shopping cart","0","0","1","0","0"
