"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 08:37:57 GMT 2025","Tue Aug 12 08:38:06 GMT 2025","8804","","","","","","View PerfectDraft machine options",""
"passed","Tue Aug 12 08:38:10 GMT 2025","Tue Aug 12 08:38:14 GMT 2025","4601","","","","","","Navigate to About PerfectDraft page",""
"passed","Tue Aug 12 08:37:46 GMT 2025","Tue Aug 12 08:37:51 GMT 2025","4961","","","","","","Navigate to different country websites",""
"passed","Tue Aug 12 08:38:27 GMT 2025","Tue Aug 12 08:38:33 GMT 2025","6223","","","","","","Search for specific products",""
"passed","Tue Aug 12 08:38:06 GMT 2025","Tue Aug 12 08:38:09 GMT 2025","3180","","","","","","Main website navigation",""
"passed","Tue Aug 12 08:35:41 GMT 2025","Tue Aug 12 08:37:06 GMT 2025","84844","","","","","","Complete checkout process as guest user",""
"passed","Tue Aug 12 08:38:34 GMT 2025","Tue Aug 12 08:38:50 GMT 2025","16778","","","","","","Find Community Store locations",""
"passed","Tue Aug 12 08:37:35 GMT 2025","Tue Aug 12 08:37:41 GMT 2025","6000","","","","","","Select country from homepage",""
"failed","Tue Aug 12 08:39:14 GMT 2025","Tue Aug 12 08:39:19 GMT 2025","5111","","","","","","View promotional keg packs",""
"passed","Tue Aug 12 08:37:42 GMT 2025","Tue Aug 12 08:37:45 GMT 2025","3850","","","","","","Navigate to different country websites",""
"passed","Tue Aug 12 08:37:27 GMT 2025","Tue Aug 12 08:37:35 GMT 2025","7391","","","","","","Browse beer kegs catalog",""
"passed","Tue Aug 12 08:38:15 GMT 2025","Tue Aug 12 08:38:26 GMT 2025","11951","","","","","","View detailed product information",""
"passed","Tue Aug 12 08:37:51 GMT 2025","Tue Aug 12 08:37:56 GMT 2025","5182","","","","","","Navigate to different country websites",""
"passed","Tue Aug 12 08:37:06 GMT 2025","Tue Aug 12 08:37:27 GMT 2025","20916","","","","","","Add new Camden Hells keg to shopping cart",""
"passed","Tue Aug 12 08:39:20 GMT 2025","Tue Aug 12 08:39:37 GMT 2025","17448","","","","","","Add products to shopping cart",""
"passed","Tue Aug 12 08:38:51 GMT 2025","Tue Aug 12 08:39:14 GMT 2025","23057","","","","","","Modify cart contents",""
